the_geom,cartodb_id,year,lead_ppb,address,zipcode,latitude,longitude
0101000020E610000053E9279CDDB353C0003B376DC66F4540,1,2002,0,"45 Kopernik Buffalo, NY, 14206",14206,42.873243,-78.810401
0101000020E61000000ECAEA0CC2B853C09A362DC25E784540,2,2002,0,"95 Howell Buffalo, NY, 14207",14207,42.9403918,-78.8868439
0101000020E6100000B5A1629CBFB853C033A083D3277A4540,3,2002,0,"106 Rebecca Buffalo, NY, 14207",14207,42.9543404,-78.886695
0101000020E610000016342DB132B653C09949D40B3E754540,4,2002,0,"141 Butler Buffalo, NY, 14208",14208,42.915956,-78.846844
0101000020E610000017963FDF16B653C0D57B2AA73D754540,5,2002,0,"187 Butler Buffalo, NY, 14208",14208,42.915944,-78.845146
0101000020E610000077F52A323AB953C0751E15FF77764540,249,2014,0,"129 Bird Buffalo, NY, 14213",14213,42.925537,-78.894177
0101000020E610000027F04E3E3DB653C0FCC3961E4D754540,6,2002,0,"126 Butler Buffalo, NY, 14208",14208,42.916416,-78.847488
0101000020E61000007F9F71E140B453C083DE1B43006E4540,7,2002,0,"90 Hammerschmidt Ave. Buffalo, NY, 14210",14210,42.859383,-78.81646
0101000020E610000082893F8A3AB453C0072461DF4E6E4540,8,2002,0,"38 Sage Buffalo, NY, 14210",14210,42.861782,-78.816073
0101000020E6100000DEE7F86871B853C01C60E63BF8754540,9,2002,0,"670 Richmond Buffalo, NY, 14213",14213,42.921638,-78.881922
0101000020E61000001EDD088B8AB853C03C6645798B754540,10,2002,0,"463 Auburn Buffalo, NY, 14213",14213,42.9183189,-78.883456
0101000020E6100000427C60C77FB853C0484F9143C4754540,11,2002,0,"32 Colonial Circle Buffalo, NY, 14213",14213,42.920052,-78.882799
0101000020E610000070F7281282B853C0008DD2A57F754540,12,2002,0,"87 Livingston Buffalo, NY, 14213",14213,42.917958,-78.8829389
0101000020E61000000D6FD6E07DB853C019DC20A4B8754540,13,2002,0,"20 Colonial Circle Buffalo, NY, 14213",14213,42.9196973,-78.882683
0101000020E610000083143C85DCB553C014D2D0F533784540,14,2002,0,"64 Vernon Buffalo, NY, 14214",14214,42.9390857,-78.8415845
0101000020E6100000112BED1E6AB753C0D4884FF003794540,15,2002,0,"38 Tioga Street Buffalo, NY, 14216",14216,42.9454327,-78.8658521
0101000020E6100000D6F7E12021B753C085562767287A4540,16,2002,0,"335 Commonwealth Buffalo, NY, 14216",14216,42.954358,-78.861397
0101000020E61000003ACD02ED0EB553C0F76C1D1CEC6B4540,17,2002,0,"87 Altruria Buffalo, NY, 14220",14220,42.843143,-78.829036
0101000020E610000049F3C7B436B453C0C7BAB88D066C4540,18,2002,0,"24 McClellan Buffalo, NY, 14220",14220,42.84395,-78.815839
0101000020E61000007B15191D90B453C08AAC3594DA6B4540,19,2002,0,"63 Sheffield Buffalo, NY, 14220",14220,42.842608,-78.821296
0101000020E6100000A415DF50F8B553C01EDFDE35E8774540,20,2002,1,"43 Greenfield Buffalo, NY, 14214",14214,42.936774,-78.843281
0101000020E61000007C0107FE01B553C08EF9CACD81764540,21,2002,1,"128 Durham Buffalo, NY, 14215",14215,42.9258363,-78.8282466
0101000020E6100000E49EAEEE58B753C0020EA14ACD6E4540,22,2002,2,"14 Tennessee Buffalo, NY, 14204",14204,42.86564,-78.864803
0101000020E61000006ADE718A8EB953C0DAA9B9DC607A4540,23,2002,2,"30 Henrietta Buffalo, NY, 14207",14207,42.956081,-78.899325
0101000020E6100000CCCDDCE888B953C0A48D23D6E2774540,24,2002,2,"81 Thompson Buffalo, NY, 14207",14207,42.93661,-78.8989813
0101000020E6100000C5E74EB0FFB353C0D84812842B6E4540,25,2002,2,"72 Roanoke Pkwy Buffalo, NY, 14210",14210,42.860703,-78.812481
0101000020E6100000145D177E70B653C07689EAAD81734540,26,2002,2,"78 Timon Buffalo, NY, 14211",14211,42.902395,-78.850616
0101000020E61000002B90341367B353C0EEE76F9DDA774540,27,2002,2,"277 Hastings Buffalo, NY, 14215",14215,42.9363591,-78.8031662
0101000020E6100000ADA6EB89AEB353C04DA1F31ABB784540,28,2002,2,"461 Dartmouth Buffalo, NY, 14215",14215,42.94321,-78.807528
0101000020E6100000957EC2D9ADB353C090108A52E7754540,29,2002,2,"223 Hagen Buffalo, NY, 14215",14215,42.9211219,-78.807486
